ip_a,ip_b,mac_a,mac_b,port_a,port_b,prot,tran_prot,ts_start,ts_end,f4b_a,f4b_b,sfp_a,sfp_b,packets_a,bytes_a,packets_b,bytes_b,min_load_a,mean_load_a,max_load_a,stdv_load_a,min_load_b,mean_load_b,max_load_b,stdv_load_b,min_iat_a,mean_iat_a,max_iat_a,stdv_iat_a,min_iat_b,mean_iat_b,max_iat_b,stdv_iat_b
fff967e69734,d9d33f9d2382,ebd1a7fa8544,d96b0fddf228,8083,53601,Unknown_UDP,17,1571589155,1571589155,0,52454c41,0,21,0,0,2,42,0,0,0,0,21,21,21,0,0,0,0,0,0,20,41,20
de7d73a2965d,b73bbb57a73a,,,8083,53602,Unknown_UDP,17,1571589155,1571589155,0,52454c41,0,21,0,0,1,21,0,0,0,0,21,21,21,0,0,0,0,0,0,0,0,0
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,59113,DNS,17,1571589156,1571589156,708c8185,708c0100,44,44,1,44,1,44,44,44,44,0,44,44,44,0,37781,37781,37781,0,0,0,0,0
dc432e4e26f4,d9d33f9d2382,13d35af5c06b,d96b0fddf228,80,51996,HTTP,6,1571589123,1571589276,48545450,48454144,706,272,194,255497,123,6639,0,1317,1410,280,0,54,361,127,96,102637,2223332,243905,0,1082893,97379133,8786524
b2d0686037b1,d9d33f9d2382,13d35af5c06b,d96b0fddf228,80,52083,HTTP,6,1571589276,1571589276,48545450,47455420,1410,81,7,4031,5,81,0,576,1410,666,0,16,81,32,3722,41726,95788,29427,0,13738,45246,17198
84f1c8066729,d9d33f9d2382,13d35af5c06b,d96b0fddf228,53,63004,DNS,17,1571589149,1571589157,f4338180,f4330100,113,48,1,113,4,192,113,113,113,0,48,48,48,0,35907,35907,35907,0,0,2007833,4011838,1418416
2d1e31768e2d,d9d33f9d2382,13d35af5c06b,d96b0fddf228,443,52085,HTTPS,6,1571589277,1571589283,16030300,16030102,212,577,14,1979,14,2497,0,141,564,198,0,178,1240,342,70,23439,108911,28741,0,399947,5412985,1390586
75767a97497f,d9d33f9d2382,13d35af5c06b,d96b0fddf228,443,52036,HTTPS,6,1571589159,1571589289,1603030e,16030300,1410,192,15,15731,8,1099,0,1049,1410,557,0,137,693,227,79,8337485,123626798,30812624,0,622417,4596893,1503748
45ad7db4540d,d9d33f9d2382,13d35af5c06b,d96b0fddf228,137,137,NetBIOS_UDP,17,1571589167,1571589170,0,d8ce0000,0,50,0,0,3,150,0,0,0,0,50,50,50,0,0,0,0,0,0,999410,1500227,706690
34e9bd2249db,d9d33f9d2382,13d35af5c06b,d96b0fddf228,443,52088,HTTPS,6,1571589280,1571589293,16030300,16030102,1410,517,41,39381,31,4979,0,961,1410,623,0,161,1380,373,91,62222,464049,74529,0,327394,9910259,1749632
4f258e19977e,d9d33f9d2382,13d35af5c06b,d96b0fddf228,443,52001,HTTPS,6,1571589128,1571589300,16030300,16030100,1410,199,19,4865,18,1068,0,256,1410,470,0,59,359,95,43,18374,53989,19325,0,9493141,58781625,21167304
19a16de5938e,d9d33f9d2382,13d35af5c06b,d96b0fddf228,443,52007,HTTPS,6,1571589130,1571589302,16030300,16030102,1410,517,16,4198,18,1343,0,262,1410,463,0,75,517,134,36,52506,210979,64494,0,9485390,58787267,21122397
1b667a7691d4,d9d33f9d2382,13d35af5c06b,d96b0fddf228,443,52008,HTTPS,6,1571589131,1571589302,16030300,16030100,1410,240,24,8013,23,1570,0,334,1410,538,0,68,491,122,71,36229,125761,33393,0,7415425,59565335,19026250
8e1d32410e65,d9d33f9d2382,13d35af5c06b,d96b0fddf228,443,52091,HTTPS,6,1571589300,1571589303,16030300,16030102,212,577,12,1266,12,1181,0,106,564,169,0,98,577,178,152,26145,146827,39455,0,247038,2620271,720026
211b1010f9d0,d9d33f9d2382,13d35af5c06b,d96b0fddf228,443,52009,HTTPS,6,1571589132,1571589303,16030300,16030100,1410,215,34,11005,27,2439,0,324,1410,497,0,90,517,134,97,24689,90317,26365,0,6316346,58540481,17773341
b2d0686037b1,d9d33f9d2382,13d35af5c06b,d96b0fddf228,80,52092,HTTP,6,1571589306,1571589307,48545450,47455420,1410,260,4,1770,5,260,0,442,1410,578,0,52,260,104,97,63010,195402,77739,0,17114,83234,33066
b2d0686037b1,d9d33f9d2382,13d35af5c06b,d96b0fddf228,80,52096,HTTP,6,1571589308,1571589308,48545450,47455420,1410,281,5,3886,6,281,0,777,1410,647,0,47,281,105,33,20045,47020,18309,0,3754,20921,7698
b2d0686037b1,d9d33f9d2382,13d35af5c06b,d96b0fddf228,80,52099,HTTP,6,1571589308,1571589309,48545450,47455420,1410,281,3,1410,6,281,0,470,1410,665,0,47,281,105,16780,367675,960159,421319,0,3156,14812,5320
b2d0686037b1,d9d33f9d2382,13d35af5c06b,d96b0fddf228,80,52098,HTTP,6,1571589308,1571589310,48545450,47455420,1410,281,3,1410,6,281,0,470,1410,665,0,47,281,105,6231,612292,1379105,571884,0,5274,11386,5067
